census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
427656696,165.119,0,0.,0.009698275862068966,4.25,58081,46.310635,-97.141395                                                                                                                                                       ,39.7,59107.0,928,Tech
77008223,29.733,16609394,6.413,0.02052052052052052,3.4844155844155846,65611,36.549846,-93.372149                                                                                                                                               ,54.9,33895.0,1998,Outdoors & Adventure
113641559,43.877,0,0.,0.02003338898163606,3.621954484605087,37886,35.745585,-83.804708                                                                                                                                                        ,42.3,47776.0,5391,Others
299562943,115.662,9633440,3.719,0.24496580547112465,3.652226073047188,70445,30.375351,-89.910291                                                                                                                                              ,44.7,44038.0,10528,Others
53176479,20.532,11798098,4.555,0.027682648401826482,5.108622620380738,02837,41.518769,-71.167247                                                                                                                                               ,52.2,78370.0,3504,Socializing
893299,0.345,0,0.,0.014842300556586271,3.3016759776536317,43157,39.842653,-82.546206                                                                                                                                                            ,40.8,32614.0,539,Outdoors & Adventure
112265867,43.346,16380312,6.324,0.018867924528301886,3.6473354231974917,72847,35.377533,-93.273453                                                                                                                                              ,41.7,37636.0,2650,Others
132623805,51.206,444965,0.172,0.01638001638001638,3.3368828654404648,72136,35.23953,-92.000438                                                                                                                                                 ,40.9,36995.0,1221,Outdoors & Adventure
666825568,257.463,4723199,1.824,0.7292531120331949,3.238532110091743,36761,32.106169,-86.978039                                                                                                                                              ,51.7,26891.0,964,Others
366313658,141.435,258736,0.1,0.03250099088386841,3.9189024390243903,50207,41.431966,-92.63754                                                                                                                                                  ,42.4,58553.0,2523,Others
141981875,54.82,49877,0.019,0.07602339181286549,3.80168776371308,84522,38.923974,-111.210953                                                                                                                                                 ,48.0,41250.0,342,Others
114269282,44.12,4237348,1.636,0.0761359885575971,3.69073986804901,78526,25.989318,-97.443138                                                                                                                                                ,30.3,50094.0,45445,Career & Business
78935325,30.477,509399,0.197,0.028595458368376788,3.9220779220779214,65710,37.485556,-93.421088                                                                                                                                                 ,31.2,56289.0,1189,Outdoors & Adventure
463982529,179.145,58920710,22.749,0.22236559139784945,3.6618705035971217,75973,31.711317,-93.942853                                                                                                                                            ,42.0,44728.0,2325,Outdoors & Adventure
17883274,6.905,665038,0.257,0.6383675250982104,3.069239631336405,77701,30.073053,-94.105486                                                                                                                                                  ,35.9,25749.0,13746,Career & Business
45131547,17.425,563382,0.218,0.01092896174863388,4.04,28663,36.53203,-81.309408                                                                                                                                                  ,44.3,41875.0,549,Outdoors & Adventure
1008158,0.389,0,0.,0.2451923076923077,3.3404255319148937,43541,41.300755,-83.829536                                                                                                                                                           ,31.8,46250.0,208,Others
5285548,2.041,7301,0.003,0.306607498777782,3.481995999110913,00923,18.409307,-66.038888                                                                                                                                                     ,38.8,14773.0,26591,Tech
113475359,43.813,77393,0.03,0.08749010292953285,4.037530958277768,14589,43.249424,-77.174261                                                                                                                                                  ,43.9,50167.0,7578,Outdoors & Adventure
169954414,65.62,1108158,0.428,0.024930747922437674,3.856157635467981,63621,37.478367,-90.61024                                                                                                                                                 ,44.6,34565.0,1444,Others
29705172,11.469,6316352,2.439,0.07651883111712716,3.960725075528701,48173,42.073679,-83.212774                                                                                                                                                ,40.5,68580.0,12559,Outdoors & Adventure
427932080,165.226,70828901,27.347,0.6191517271534762,3.6894104803493453,29458,33.093166,-79.461334                                                                                                                                            ,55.3,35571.0,2287,Career & Business
